date,close,high,low,filecoin_volume,energy_used
2021-09-11,81.744705,84.912254,80.324509,1100689745,100734.0477
2021-09-12,83.781456,87.015549,80.751099,1069499638,95029.16179
2021-09-13,78.252686,84.505707,73.677101,1419678092,96566.43578
2021-09-14,80.841232,81.782913,77.554016,771272601,97081.61577
2021-09-15,86.353867,87.395157,80.138245,1516687463,99273.95531
2021-09-16,84.733452,90.58654,82.506622,1650376976,99415.89515
2021-09-17,85.703537,86.589722,80.76049,1021410145,98919.98611
2021-09-18,84.357841,87.346542,82.67849,780146355,97049.57903
2021-09-19,83.519791,84.929413,81.764008,533405612,97107.63644
2021-09-20,74.071091,83.716782,71.973366,1784120954,95763.26759
2021-09-21,69.445244,76.532784,68.445152,1371083511,94437.24039
2021-09-22,74.583542,75.013115,68.747429,919142112,94456.12005
2021-09-23,74.838516,75.53569,72.034958,826347298,96554.94169
2021-09-24,63.301563,74.940254,60.660202,2166418674,95787.96767
2021-09-25,60.451473,63.897755,59.211102,1176618666,93809.41828
2021-09-26,55.733105,60.658161,50.149471,2555948336,89160.91304
2021-09-27,59.123135,62.720268,54.803661,1960946115,88783.90674
2021-09-28,55.437572,59.446526,55.181335,1307039105,89487.2475
2021-09-29,57.068401,58.514492,55.274857,950215363,92596.9136
2021-09-30,60.012264,61.150993,56.854855,1011617258,94884.3362
2021-10-01,71.518196,72.996719,59.735851,1508537847,92518.36247
2021-10-02,69.962685,73.920639,68.388794,1517690208,89420.53284
2021-10-03,69.079216,70.74585,67.869148,961795283,89419.45679
2021-10-04,69.53907,70.323982,65.753891,1124743308,90062.19677
2021-10-05,70.963654,72.842255,68.707687,1032855567,86932.62388
2021-10-06,71.891983,74.554565,66.825432,1430505800,82690.32482
2021-10-07,71.455704,73.665756,69.113441,1163159199,75552.63893
2021-10-08,79.360229,80.969734,70.753799,1900433977,76784.31674
2021-10-09,76.709297,80.504601,75.498787,1005022676,79127.54685
2021-10-10,69.883102,76.980965,69.251312,994754810,78079.38326
2021-10-11,73.247536,74.509453,69.200706,1120404289,77212.72854
2021-10-12,69.774307,73.558067,66.39962,1056121688,73852.44227
2021-10-13,68.278465,70.637428,61.397003,1501122446,73128.99908
2021-10-14,70.281784,71.854744,67.30349,924782998,69029.27571
2021-10-15,67.232613,70.380524,65.301033,1041856668,70272.8389
2021-10-16,66.516518,69.16259,66.18515,533355479,70381.76378
2021-10-17,63.418892,67.032982,61.294903,634070585,66239.24325
2021-10-18,63.392326,64.989204,61.478821,586411728,60945.50357
2021-10-19,62.967365,63.974022,62.215977,407047077,61468.4115
2021-10-20,66.841316,67.97644,62.573933,730503870,61464.69426
2021-10-21,63.603432,68.116768,63.585728,746950880,58064.64331
2021-10-22,65.844147,66.814247,63.622742,622414511,59307.47284
2021-10-23,64.856743,66.346458,64.052948,361307791,60115.8256
2021-10-24,62.65847,65.082146,61.295185,624235124,59251.37188
